Exchange Date,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,RIC,Description,Interval,Currency,FriendlyName
2015-01-02,,,,70.25,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-05,,,,69.41,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-06,71.52,69.97,69.97,71.19,67,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-07,70.5,69.93,70.5,70.5,54,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-08,70.2,69.9,70,70.19,30,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-09,69.76,69.32,69.76,69.28,20,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-12,68.8,68.05,68.8,67.81,85,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-13,,,,67.53,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-14,67.15,66.85,66.85,66.91,15,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-15,68.32,66.75,66.75,68.16,80,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-16,67.87,67.6,67.8,68.03,19,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-19,68,67.22,67.22,67.89,25,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-20,67.42,67.35,67.42,67.28,9,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-21,66.73,66.22,66.22,65.97,50,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-22,66.2,66.1,66.2,65.67,6,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-23,65.8,65.1,65.8,64.05,341,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-26,63.63,62.46,63.63,62.04,30,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-27,62.7,62.35,62.7,62.84,30,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-28,62.95,62.5,62.7,62.46,20,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-29,63,62.55,62.75,63.16,25,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-01-30,62.6,62.5,62.6,61.88,10,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-02,61.71,61.61,61.61,61.44,9,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-03,62.37,61.88,61.88,62.8,175,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-04,,,,62.67,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-05,62.2,61.57,62.2,61.53,110,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-06,62.25,61.1,61.4,62.17,40,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-09,61.9,61.6,61.6,61.42,10,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-10,62,61.98,62,62.5,10,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-11,,,,62.94,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-12,62.75,62.34,62.34,63.19,30,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-13,63.5,63.22,63.25,64.19,20,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-16,64.35,64.35,64.35,64.75,5,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-17,,,,64.04,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-18,,,,63.25,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-19,,,,63.25,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
