Date,HIGH_x,LOW_x,OPEN_x,CLOSE_x,VOLUME_x,HIGH_y,LOW_y,OPEN_y,VOLUME_y,Overall Sentiment,flows_daily_total,china_daily_import,row_daily_import,aus_daily_export,brazil_daily_export,row_daily_export,polarity_avg_daily,article_count_daily,stocks_daily
2015-01-02,71.75,71.75,71.75,70.67,5.0,71.52,69.97,69.97,67.0,Neutral,2561038.297,1775968.861,785069.436,2088849.696,331104.0,141084.601,0.0,0,0.1955
2015-01-03,71.75,71.75,71.75,70.67,5.0,71.52,69.97,69.97,67.0,Neutral,1277683.888,967765.244,309918.644,1208866.154,0.0,68817.734,0.0,0,0.1955
2015-01-04,71.75,71.75,71.75,70.67,5.0,71.52,69.97,69.97,67.0,Neutral,1996770.961,1669955.798,326815.163,1257123.9479999999,614166.235,125480.77799999999,0.0,0,0.1955
2015-01-05,71.75,71.75,71.75,69.94,5.0,71.52,69.97,69.97,67.0,Neutral,13793569.353,8273902.977,5519666.376,9233797.32,3519837.0,1039935.033,0.0,0,0.1955
2015-01-06,71.75,71.75,71.75,71.64,5.0,71.52,69.97,69.97,67.0,Neutral,1595791.402,853504.655,742286.747,1277238.466,106661.81,211891.126,0.0,0,0.1955
2015-01-07,71.38,71.38,71.38,71.19,6.8,70.5,69.93,70.5,54.0,Neutral,1227764.184,781984.0449999999,445780.13899999997,1149995.605,77768.579,0.0,0.0,0,0.1955
2015-01-08,71.01,71.01,71.01,70.94,8.6,70.2,69.9,70.0,30.0,Neutral,1337256.5960000001,1012881.9700000001,324374.62600000005,1337256.5960000001,0.0,0.0,0.0,0,0.1955
2015-01-09,70.64,70.64,70.64,70.5,10.4,69.76,69.32,69.76,20.0,Neutral,1697770.183,754494.245,943275.938,1297108.581,342603.951,58057.651,0.0,0,0.1955
2015-01-10,70.64,70.64,70.64,70.5,10.4,69.76,69.32,69.76,20.0,Neutral,1403035.527,959584.2320000001,443451.29500000004,1188182.471,171105.0,43748.056,0.0,0,0.1955
2015-01-11,70.64,70.64,70.64,70.5,10.4,69.76,69.32,69.76,20.0,Neutral,1775078.9610000001,1537638.625,237440.33599999998,1775078.9610000001,0.0,0.0,0.0,0,0.1955
